'   1	((1, 0, 0, 1), (0, 1, 0, 1), (0, 0, 1, 1), (0, 0, 0, 1))	3	6.08	0.31	0.00	0.00
'   2	((1, 0, 0, 1), (0, 1, 1, 0), (0, 0, 1, 1), (0, 0, 0, 1))	9	4.72	0.33	0.00	0.00
'   3	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 0), (0, 0, 0, 1))	9	4.41	0.35	0.00	0.00
'   4	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 1), (0, 0, 0, 1))	9	6.61	0.26	0.00	0.00
'   5	((1, 0, 1, 0), (0, 1, 0, 1), (0, 0, 1, 0), (0, 1, 1, 1))	27	4.57	0.28	0.00	0.00
'   6	((1, 0, 1, 0), (0, 1, 1, 1), (0, 0, 1, 0), (0, 1, 1, 1))	18	6.78	0.21	0.00	0.00
'   7	((1, 0, 0, 1), (0, 1, 0, 1), (0, 0, 1, 0), (0, 0, 1, 1))	9	4.49	0.34	0.00	0.00
'   8	((1, 0, 0, 1), (0, 1, 0, 1), (0, 0, 1, 1), (0, 0, 1, 1))	9	6.43	0.26	0.00	0.00
'   9	((1, 0, 0, 1), (0, 1, 1, 0), (0, 0, 1, 1), (0, 0, 1, 1))	6	4.50	0.31	0.00	0.00
'  10	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 0), (0, 0, 1, 1))	9	4.78	0.30	0.00	0.00
'  11	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 1), (0, 0, 1, 1))	9	6.73	0.25	0.00	0.00
'  12	((1, 0, 0, 1), (0, 1, 1, 0), (0, 0, 1, 0), (0, 1, 0, 1))	27	4.96	0.34	0.00	0.00
'  13	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 0), (0, 1, 0, 1))	27	4.68	0.29	0.00	0.00
'  14	((1, 0, 1, 0), (0, 1, 0, 1), (0, 0, 1, 1), (0, 1, 0, 1))	27	4.93	0.28	0.00	0.00
'  15	((1, 0, 0, 1), (0, 1, 1, 0), (0, 0, 1, 1), (0, 1, 0, 1))	27	5.32	0.28	0.00	0.00
'  16	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 1), (0, 1, 0, 1))	27	7.07	0.23	0.00	0.00
'  17	((1, 0, 1, 0), (0, 1, 0, 1), (0, 0, 1, 1), (0, 1, 1, 1))	27	5.08	0.24	0.00	0.00
'  18	((1, 0, 1, 0), (0, 1, 1, 1), (0, 0, 1, 1), (0, 1, 0, 1))	27	5.20	0.25	0.00	0.00
'  19	((1, 0, 1, 0), (0, 1, 1, 1), (0, 0, 1, 1), (0, 1, 1, 1))	27	6.80	0.21	0.00	0.00
'  20	((1, 0, 0, 1), (0, 1, 0, 0), (0, 0, 1, 0), (0, 1, 1, 1))	18	4.78	0.34	0.00	0.00
'  21	((1, 0, 0, 1), (0, 1, 0, 0), (0, 0, 1, 1), (0, 1, 1, 1))	27	4.58	0.28	0.00	0.00
'  22	((1, 0, 0, 1), (0, 1, 1, 0), (0, 0, 1, 0), (0, 1, 1, 1))	27	5.50	0.28	0.00	0.00
'  23	((1, 0, 0, 1), (0, 1, 1, 0), (0, 0, 1, 1), (0, 1, 1, 1))	27	5.17	0.25	0.00	0.00
'  24	((1, 0, 0, 1), (0, 1, 0, 1), (0, 0, 1, 1), (0, 1, 1, 1))	18	7.17	0.22	0.00	0.00
'  25	((1, 0, 0, 1), (0, 1, 1, 0), (0, 1, 1, 0), (0, 1, 1, 1))	18	5.25	0.26	0.00	0.00
'  26	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 0), (0, 1, 1, 1))	27	5.02	0.24	0.00	0.00
'  27	((1, 0, 0, 1), (0, 1, 1, 1), (0, 0, 1, 1), (0, 1, 1, 1))	27	6.99	0.21	0.00	0.00
'  28	((1, 0, 0, 1), (0, 1, 1, 0), (0, 1, 1, 1), (0, 1, 1, 1))	27	5.03	0.22	0.00	0.00
'  29	((1, 0, 0, 1), (0, 1, 1, 1), (0, 1, 1, 1), (0, 1, 1, 1))	18	6.72	0.19	0.00	0.00
'  30	((1, 0, 1, 1), (0, 1, 1, 1), (0, 0, 1, 0), (0, 0, 0, 1))	6	4.75	0.30	0.00	0.00
'  31	((1, 0, 1, 1), (0, 1, 1, 1), (0, 0, 1, 1), (0, 0, 0, 1))	9	7.18	0.23	0.00	0.00
'  32	((1, 0, 1, 1), (0, 1, 0, 0), (0, 0, 1, 0), (0, 1, 0, 1))	27	4.55	0.35	0.00	0.00
'  33	((1, 0, 1, 1), (0, 1, 0, 1), (0, 0, 1, 0), (0, 1, 0, 1))	27	4.58	0.29	0.00	0.00
'  34	((1, 0, 1, 1), (0, 1, 0, 0), (0, 1, 1, 0), (0, 1, 0, 1))	18	5.81	0.28	0.00	0.00
'  35	((1, 0, 1, 1), (0, 1, 1, 0), (0, 0, 1, 0), (0, 1, 0, 1))	27	5.34	0.29	0.00	0.00
'  36	((1, 0, 1, 1), (0, 1, 0, 1), (0, 1, 1, 0), (0, 1, 0, 1))	27	5.42	0.25	0.00	0.00
'  37	((1, 0, 1, 1), (0, 1, 1, 1), (0, 0, 1, 0), (0, 1, 0, 1))	27	5.06	0.25	0.00	0.00
'  38	((1, 0, 1, 1), (0, 1, 1, 1), (0, 1, 1, 0), (0, 1, 0, 1))	18	5.24	0.22	0.00	0.00
'  39	((1, 0, 1, 1), (0, 1, 1, 1), (0, 0, 1, 1), (0, 0, 1, 1))	6	8.08	0.21	0.00	0.00
'  40	((1, 0, 1, 1), (0, 1, 0, 0), (0, 0, 1, 0), (0, 1, 1, 1))	27	5.03	0.30	0.00	0.00
'  41	((1, 0, 1, 1), (0, 1, 0, 0), (0, 0, 1, 1), (0, 1, 0, 1))	27	4.99	0.29	0.00	0.00
'  42	((1, 0, 1, 1), (0, 1, 0, 1), (0, 0, 1, 1), (0, 1, 0, 1))	27	6.91	0.23	0.00	0.00
'  43	((1, 0, 1, 1), (0, 1, 1, 0), (0, 0, 1, 0), (0, 1, 1, 1))	27	7.76	0.23	0.00	0.00
'  44	((1, 0, 1, 1), (0, 1, 1, 0), (0, 0, 1, 1), (0, 1, 0, 1))	27	5.39	0.25	0.00	0.00
'  45	((1, 0, 1, 1), (0, 1, 0, 1), (0, 0, 1, 0), (0, 1, 1, 1))	27	4.95	0.24	0.00	0.00
